Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [LSB]	G_Y [LSB]	G_Z [LSB]	G_X [dps]	G_Y [dps]	G_Z [dps]	T [LSB]	T [degC]	QVAR [LSB]	
297	95	1618	-7898	11.590	197.396	-963.556	-12	2	-6	-1.680	0.280	-0.840	-351	23.629	196	
1301	95	1627	-7889	11.590	198.494	-962.458	-12	2	-7	-1.680	0.280	-0.980	-351	23.629	176	
2305	74	1645	-7931	9.028	200.690	-967.582	-13	1	-7	-1.820	0.140	-0.980	-351	23.629	176	
3308	89	1620	-7912	10.858	197.640	-965.264	-12	1	-7	-1.680	0.140	-0.980	-347	23.645	176	
4311	91	1636	-7950	11.102	199.592	-969.900	-12	1	-7	-1.680	0.140	-0.980	-347	23.645	176	
5315	84	1637	-7929	10.248	199.714	-967.338	-12	2	-7	-1.680	0.280	-0.980	-347	23.645	224	
6319	80	1653	-7909	9.760	201.666	-964.898	-13	2	-7	-1.820	0.280	-0.980	-347	23.645	224	
7322	60	1648	-7892	7.320	201.056	-962.824	-13	2	-7	-1.820	0.280	-0.980	-347	23.645	224	
8325	65	1667	-7905	7.930	203.374	-964.410	-12	2	-7	-1.680	0.280	-0.980	-347	23.645	224	
9329	81	1655	-7909	9.882	201.910	-964.898	-12	1	-7	-1.680	0.140	-0.980	-347	23.645	224	
10332	78	1661	-7924	9.516	202.642	-966.728	-12	1	-8	-1.680	0.140	-1.120	-347	23.645	224	
11335	87	1663	-7919	10.614	202.886	-966.118	-11	2	-8	-1.540	0.280	-1.120	-347	23.645	224	
12339	69	1656	-7933	8.418	202.032	-967.826	-11	2	-7	-1.540	0.280	-0.980	-347	23.645	224	
13343	78	1693	-7921	9.516	206.546	-966.362	-11	2	-8	-1.540	0.280	-1.120	-347	23.645	268	
14346	62	1693	-7921	7.564	206.546	-966.362	-10	2	-8	-1.400	0.280	-1.120	-347	23.645	268	
15349	56	1682	-7933	6.832	205.204	-967.826	-10	3	-7	-1.400	0.420	-0.980	-347	23.645	268	
16353	70	1688	-7924	8.540	205.936	-966.728	-10	2	-8	-1.400	0.280	-1.120	-347	23.645	268	
17356	61	1708	-7924	7.442	208.376	-966.728	-9	1	-6	-1.260	0.140	-0.840	-347	23.645	208	
18359	80	1705	-7900	9.760	208.010	-963.800	-9	3	-6	-1.260	0.420	-0.840	-347	23.645	208	
19363	67	1715	-7929	8.174	209.230	-967.338	-9	4	-7	-1.260	0.560	-0.980	-351	23.629	208	
20367	67	1723	-7921	8.174	210.206	-966.362	-8	4	-6	-1.120	0.560	-0.840	-351	23.629	208	
21370	65	1725	-7931	7.930	210.450	-967.582	-7	3	-7	-0.980	0.420	-0.980	-351	23.629	268	
22373	58	1735	-7914	7.076	211.670	-965.508	-7	3	-7	-0.980	0.420	-0.980	-351	23.629	268	
23377	92	1721	-7914	11.224	209.962	-965.508	-7	4	-7	-0.980	0.560	-0.980	-351	23.629	268	
24380	89	1705	-7914	10.858	208.010	-965.508	-7	2	-6	-0.980	0.280	-0.840	-351	23.629	268	
25383	78	1708	-7912	9.516	208.376	-965.264	-8	4	-5	-1.120	0.560	-0.700	-351	23.629	248	
26387	80	1711	-7905	9.760	208.742	-964.410	-7	5	-6	-0.980	0.700	-0.840	-351	23.629	248	
27391	89	1700	-7917	10.858	207.400	-965.874	-6	2	-6	-0.840	0.280	-0.840	-351	23.629	248	
28394	102	1710	-7901	12.444	208.620	-963.922	-6	2	-5	-0.840	0.280	-0.700	-351	23.629	248	
29397	94	1705	-7927	11.468	208.010	-967.094	-5	1	-6	-0.700	0.140	-0.840	-351	23.629	304	
30401	88	1718	-7922	10.736	209.596	-966.484	-6	4	-5	-0.840	0.560	-0.700	-351	23.629	304	
31404	73	1711	-7931	8.906	208.742	-967.582	-4	3	-7	-0.560	0.420	-0.980	-351	23.629	304	
32407	94	1721	-7923	11.468	209.962	-966.606	-4	3	-5	-0.560	0.420	-0.700	-351	23.629	304	
33411	108	1705	-7923	13.176	208.010	-966.606	-4	3	-6	-0.560	0.420	-0.840	-351	23.629	220	
34415	100	1698	-7911	12.200	207.156	-965.142	-5	2	-6	-0.700	0.280	-0.840	-351	23.629	220	
35418	104	1682	-7903	12.688	205.204	-964.166	-5	3	-5	-0.700	0.420	-0.700	-347	23.645	220	
36421	81	1694	-7896	9.882	206.668	-963.312	-4	4	-5	-0.560	0.560	-0.700	-347	23.645	220	
37425	87	1685	-7892	10.614	205.570	-962.824	-4	3	-6	-0.560	0.420	-0.840	-347	23.645	252	
38428	86	1686	-7895	10.492	205.692	-963.190	-3	2	-5	-0.420	0.280	-0.700	-347	23.645	252	
39431	87	1681	-7901	10.614	205.082	-963.922	-4	3	-5	-0.560	0.420	-0.700	-347	23.645	252	
40435	66	1683	-7930	8.052	205.326	-967.460	-2	2	-6	-0.280	0.280	-0.840	-347	23.645	252	
41439	51	1682	-7891	6.222	205.204	-962.702	-2	4	-6	-0.280	0.560	-0.840	-347	23.645	292	
42442	61	1667	-7890	7.442	203.374	-962.580	-1	2	-5	-0.140	0.280	-0.700	-347	23.645	292	
43445	77	1684	-7879	9.394	205.448	-961.238	-1	3	-5	-0.140	0.420	-0.700	-347	23.645	292	
44449	54	1667	-7901	6.588	203.374	-963.922	-1	5	-4	-0.140	0.700	-0.560	-347	23.645	292	
45453	52	1671	-7879	6.344	203.862	-961.238	-3	5	-5	-0.420	0.700	-0.700	-347	23.645	284	
46456	40	1688	-7905	4.880	205.936	-964.410	-1	2	-5	-0.140	0.280	-0.700	-347	23.645	284	
47460	43	1688	-7896	5.246	205.936	-963.312	-1	2	-5	-0.140	0.280	-0.700	-347	23.645	284	
48464	54	1662	-7891	6.588	202.764	-962.702	-1	2	-5	-0.140	0.280	-0.700	-347	23.645	284	
49467	34	1662	-7889	4.148	202.764	-962.458	-3	3	-5	-0.420	0.420	-0.700	-347	23.645	308	
50470	33	1684	-7889	4.026	205.448	-962.458	-3	4	-6	-0.420	0.560	-0.840	-347	23.645	308	
51474	41	1678	-7885	5.002	204.716	-961.970	-1	4	-5	-0.140	0.560	-0.700	-351	23.629	308	
52478	27	1674	-7894	3.294	204.228	-963.068	0	6	-5	0.000	0.840	-0.700	-351	23.629	308	
53481	17	1675	-7920	2.074	204.350	-966.240	0	5	-4	0.000	0.700	-0.560	-351	23.629	328	
54485	10	1676	-7923	1.220	204.472	-966.606	-1	5	-5	-0.140	0.700	-0.700	-351	23.629	328	
55489	-2	1655	-7901	-0.244	201.910	-963.922	-1	4	-5	-0.140	0.560	-0.700	-351	23.629	328	
56492	17	1659	-7928	2.074	202.398	-967.216	-1	4	-5	-0.140	0.560	-0.700	-351	23.629	328	
57495	12	1666	-7934	1.464	203.252	-967.948	-1	6	-4	-0.140	0.840	-0.560	-351	23.629	308	
58499	31	1665	-7926	3.782	203.130	-966.972	0	6	-4	0.000	0.840	-0.560	-351	23.629	308	
59503	-3	1666	-7904	-0.366	203.252	-964.288	-1	6	-5	-0.140	0.840	-0.700	-351	23.629	308	
60506	26	1664	-7918	3.172	203.008	-965.996	0	6	-5	0.000	0.840	-0.700	-351	23.629	308	
61510	12	1651	-7905	1.464	201.422	-964.410	-3	7	-5	-0.420	0.980	-0.700	-351	23.629	324	
62514	23	1648	-7915	2.806	201.056	-965.630	0	6	-6	0.000	0.840	-0.840	-351	23.629	324	
63517	39	1652	-7904	4.758	201.544	-964.288	0	7	-5	0.000	0.980	-0.700	-351	23.629	324	
64520	29	1652	-7916	3.538	201.544	-965.752	1	8	-4	0.140	1.120	-0.560	-351	23.629	324	
65524	52	1669	-7907	6.344	203.618	-964.654	1	9	-5	0.140	1.260	-0.700	-351	23.629	336	
66528	59	1670	-7904	7.198	203.740	-964.288	0	8	-5	0.000	1.120	-0.700	-351	23.629	336	
67531	47	1678	-7893	5.734	204.716	-962.946	0	9	-4	0.000	1.260	-0.560	-351	23.629	336	
68534	68	1673	-7908	8.296	204.106	-964.776	1	9	-5	0.140	1.260	-0.700	-351	23.629	336	
69538	81	1670	-7910	9.882	203.740	-965.020	1	9	-3	0.140	1.260	-0.420	-351	23.629	284	
70541	92	1670	-7899	11.224	203.740	-963.678	-1	8	-5	-0.140	1.120	-0.700	-351	23.629	284	
71544	90	1665	-7909	10.980	203.130	-964.898	1	9	-4	0.140	1.260	-0.560	-351	23.629	284	
72548	112	1657	-7922	13.664	202.154	-966.484	1	10	-4	0.140	1.400	-0.560	-351	23.629	284	
73552	113	1678	-7901	13.786	204.716	-963.922	3	10	-4	0.420	1.400	-0.560	-351	23.629	256	
74555	134	1667	-7895	16.348	203.374	-963.190	1	8	-4	0.140	1.120	-0.560	-351	23.629	256	
75558	124	1665	-7903	15.128	203.130	-964.166	0	8	-4	0.000	1.120	-0.560	-351	23.629	256	
76562	129	1660	-7893	15.738	202.520	-962.946	2	9	-5	0.280	1.260	-0.700	-351	23.629	256	
77565	155	1668	-7872	18.910	203.496	-960.384	1	8	-4	0.140	1.120	-0.560	-351	23.629	328	
78568	148	1672	-7874	18.056	203.984	-960.628	2	9	-4	0.280	1.260	-0.560	-351	23.629	328	
79572	170	1673	-7894	20.740	204.106	-963.068	3	8	-3	0.420	1.120	-0.420	-351	23.629	328	
80576	176	1659	-7872	21.472	202.398	-960.384	2	7	-4	0.280	0.980	-0.560	-351	23.629	328	
81579	172	1668	-7887	20.984	203.496	-962.214	2	9	-4	0.280	1.260	-0.560	-351	23.629	276	
82582	174	1669	-7886	21.228	203.618	-962.092	4	7	-3	0.560	0.980	-0.420	-351	23.629	276	
83586	174	1663	-7894	21.228	202.886	-963.068	5	6	-4	0.700	0.840	-0.560	-347	23.645	276	
84589	201	1674	-7892	24.522	204.228	-962.824	3	6	-4	0.420	0.840	-0.560	-347	23.645	276	
85592	198	1685	-7909	24.156	205.570	-964.898	5	5	-3	0.700	0.700	-0.420	-347	23.645	240	
86596	209	1668	-7903	25.498	203.496	-964.166	6	5	-4	0.840	0.700	-0.560	-347	23.645	240	
87600	212	1660	-7905	25.864	202.520	-964.410	5	5	-3	0.700	0.700	-0.420	-347	23.645	240	
